# �berpr�fung der Braggbedingung
# Beschleunigungsspannung U=35kV, Strom I=1mA, LiF-Kristall
# Integrationszeit pro Winkel t=5s, 
#
#Z�hlrohrwinkel	
#thetaGM/�	N [Imp/s]
1   26.0	56.0
2   26.1	58.0
3   26.2	54.0
4   26.3	62.0
6   26.4	58.0
7   26.5	68.0
8   26.6	72.0
9   26.7	83.0
10  26.8	89.0
11  26.9	95.0
12  27.0	105.0
13  27.1	119.0
14  27.2	125.0
15  27.3	141.0
16  27.4	154.0
17  27.5	157.0
18  27.6	166.0
19  27.7	180.0
20  27.8	188.0
21  27.9	211.0
22  28.0	212.0
23  28.1	215.0
24  28.2	218.0
25  28.3	215.0
26  28.4	208.0
27  28.5	189.0
28  28.6	189.0
29  28.7	176.0
30  28.8	164.0
31  28.9	149.0
32  29.0	138.0
33  29.1	125.0
34  29.2	111.0
35  29.3	107.0
36  29.4	95.0
37  29.5	77.0
38  29.6	73.0
39  29.7	58.0
40  29.8	56.0
41  29.9	53.0
42  30.0	53.0
