#Temperatur 1 (°C)	Temperatur 2 (°C)	Temperatur 3 (°C)	Temperatur 4 (°C)	Temperatur 5 (°C)	Temperatur 6 (°C)	Temperatur 7 (°C)	Temperatur 8 (°C)
1   20.32	20.08	20.54	20.75	19.38	19.40	20.70	22.70
2	20.32	20.08	20.55	20.74	19.38	19.40	20.70	22.70
3	20.32	20.09	20.55	20.74	19.38	19.41	20.70	22.70
4	20.32	20.08	20.56	20.74	19.38	19.42	20.71	22.69
5	20.33	20.09	20.57	20.75	19.39	19.43	20.70	22.69
6	20.33	20.10	20.57	20.75	19.39	19.45	20.71	22.69
7	20.32	20.11	20.59	20.75	19.39	19.48	20.70	22.70
8	20.33	20.12	20.61	20.75	19.39	19.51	20.71	22.69
9	20.33	20.14	20.63	20.74	19.39	19.56	20.71	22.69
10	20.32	20.16	20.66	20.75	19.40	19.61	20.72	22.69
11	20.33	20.18	20.69	20.76	19.40	19.67	20.72	22.69
12	20.32	20.21	20.72	20.76	19.40	19.73	20.72	22.69
13	20.32	20.24	20.76	20.75	19.41	19.79	20.72	22.69
14	20.32	20.27	20.81	20.76	19.42	19.88	20.73	22.69
15	20.33	20.30	20.85	20.75	19.41	19.96	20.73	22.69
16	20.33	20.34	20.91	20.76	19.42	20.05	20.73	22.68
17	20.33	20.38	20.97	20.76	19.42	20.14	20.74	22.68
18	20.33	20.43	21.03	20.76	19.43	20.23	20.75	22.69
19	20.33	20.48	21.09	20.76	19.44	20.34	20.75	22.68
20	20.33	20.53	21.16	20.76	19.45	20.43	20.76	22.68
21	20.34	20.59	21.23	20.76	19.46	20.54	20.77	22.68
22	20.33	20.64	21.30	20.76	19.47	20.65	20.78	22.68
23	20.33	20.71	21.37	20.76	19.49	20.76	20.79	22.69
24	20.34	20.77	21.44	20.77	19.51	20.86	20.79	22.68
25	20.34	20.84	21.53	20.77	19.52	20.98	20.81	22.68
26	20.34	20.89	21.60	20.77	19.54	21.09	20.82	22.68
27	20.34	20.96	21.69	20.78	19.55	21.21	20.83	22.68
28	20.34	21.03	21.77	20.78	19.57	21.32	20.85	22.68
29	20.35	21.11	21.86	20.78	19.59	21.44	20.86	22.68
30	20.34	21.17	21.94	20.78	19.61	21.55	20.88	22.68
31	20.35	21.25	22.03	20.79	19.63	21.68	20.90	22.67
32	20.35	21.33	22.12	20.79	19.66	21.79	20.92	22.67
33	20.36	21.40	22.22	20.80	19.68	21.91	20.94	22.68
34	20.35	21.48	22.31	20.80	19.72	22.03	20.96	22.68
35	20.36	21.55	22.40	20.81	19.74	22.14	20.98	22.68
36	20.37	21.64	22.49	20.81	19.77	22.27	21.01	22.67
37	20.37	21.71	22.58	20.82	19.80	22.37	21.03	22.68
38	20.38	21.80	22.68	20.83	19.83	22.50	21.05	22.67
39	20.39	21.88	22.78	20.83	19.87	22.62	21.08	22.67
40	20.39	21.96	22.87	20.84	19.90	22.74	21.10	22.67
41	20.40	22.04	22.97	20.85	19.93	22.85	21.13	22.67
42	20.40	22.13	23.07	20.85	19.96	22.97	21.16	22.67
43	20.41	22.21	23.16	20.86	20.00	23.08	21.19	22.67
44	20.41	22.29	23.26	20.87	20.04	23.21	21.22	22.66
45	20.43	22.38	23.36	20.88	20.08	23.30	21.25	22.67
46	20.43	22.47	23.46	20.89	20.11	23.42	21.28	22.67
47	20.44	22.55	23.55	20.90	20.16	23.54	21.32	22.67
